Height: 50
Width: 40
Pill density: 70
Random seed: 1447037675
Result log: output/out3.log

40
50
m 0 0
0 39 49
1 39 49
2 39 49
p 2 0
p 3 0
p 5 0
p 6 0
p 7 0
p 9 0
p 10 0
p 11 0
p 15 0
p 18 0
p 19 0
p 20 0
p 21 0
p 22 0
p 23 0
p 24 0
p 25 0
p 26 0
p 27 0
p 28 0
p 29 0
p 30 0
p 31 0
p 32 0
p 33 0
p 34 0
p 35 0
p 36 0
p 37 0
p 39 0
p 2 1
p 4 1
p 5 1
p 6 1
p 9 1
p 10 1
p 11 1
p 12 1
p 15 1
p 16 1
p 17 1
p 18 1
p 19 1
p 20 1
p 21 1
p 22 1
p 23 1
p 24 1
p 25 1
p 26 1
p 28 1
p 29 1
p 30 1
p 31 1
p 33 1
p 34 1
p 35 1
p 37 1
p 38 1
p 39 1
p 0 2
p 1 2
p 2 2
p 4 2
p 5 2
p 6 2
p 8 2
p 9 2
p 10 2
p 11 2
p 12 2
p 13 2
p 15 2
p 16 2
p 17 2
p 18 2
p 19 2
p 20 2
p 22 2
p 24 2
p 26 2
p 27 2
p 28 2
p 29 2
p 30 2
p 31 2
p 33 2
p 34 2
p 35 2
p 37 2
p 38 2
p 1 3
p 2 3
p 3 3
p 4 3
p 5 3
p 6 3
p 7 3
p 9 3
p 11 3
p 13 3
p 15 3
p 17 3
p 19 3
p 20 3
p 21 3
p 22 3
p 23 3
p 25 3
p 27 3
p 28 3
p 29 3
p 33 3
p 34 3
p 35 3
p 37 3
p 38 3
p 39 3
p 0 4
p 1 4
p 2 4
p 5 4
p 6 4
p 7 4
p 9 4
p 10 4
p 11 4
p 12 4
p 13 4
p 14 4
p 18 4
p 19 4
p 20 4
p 21 4
p 22 4
p 23 4
p 24 4
p 25 4
p 26 4
p 27 4
p 29 4
p 31 4
p 34 4
p 35 4
p 36 4
p 37 4
p 38 4
p 0 5
p 1 5
p 2 5
p 3 5
p 4 5
p 5 5
p 6 5
p 7 5
p 11 5
p 13 5
p 16 5
p 17 5
p 20 5
p 21 5
p 23 5
p 25 5
p 27 5
p 28 5
p 29 5
p 30 5
p 31 5
p 32 5
p 34 5
p 36 5
p 38 5
p 39 5
p 0 6
p 1 6
p 2 6
p 3 6
p 4 6
p 7 6
p 9 6
p 10 6
p 11 6
p 12 6
p 15 6
p 16 6
p 17 6
p 18 6
p 19 6
p 21 6
p 23 6
p 24 6
p 25 6
p 26 6
p 27 6
p 28 6
p 30 6
p 32 6
