Height: 10
Width: 30
Pill density: 20
Random seed: 1447035711
Result log: output/out2.log

30
10
m 0 0
0 29 9
1 29 9
2 29 9
p 4 0
p 9 0
p 17 0
p 19 0
p 21 0
p 24 0
p 0 1
p 3 1
p 9 1
p 10 1
p 14 1
p 15 1
p 17 1
p 22 1
p 6 2
p 9 2
p 13 2
p 17 2
p 19 2
p 25 2
p 26 2
p 0 3
p 2 3
p 3 3
p 10 3
p 13 3
p 14 3
p 17 3
p 18 3
p 22 3
p 24 3
p 25 3
p 26 3
p 3 4
p 4 4
p 10 4
p 13 4
p 18 4
p 19 4
p 29 4
p 7 5
p 13 5
p 14 5
p 26 5
p 29 5
p 1 6
p 6 6
p 7 6
p 10 6
p 11 6
p 15 6
p 18 6
p 20 6
p 23 6
p 24 6
p 3 7
p 5 7
p 10 7
p 16 7
p 19 7
p 20 7
p 21 7
p 25 7
p 18 8
p 19 8
p 27 8
p 3 9
p 5 9
p 8 9
p 9 9
p 10 9
p 21 9
p 29 9
t 600 0
m 0 1
0 29 8
1 28 9
2 28 9
t 599 1
m 0 2
0 29 7
1 28 8
2 27 9
t 598 1
m 0 1
0 29 6
1 27 8
2 26 9
t 597 1
m 0 0
0 28 6
1 28 8
2 27 9
t 596 1
m 0 1
0 27 6
1 28 7
2 27 8
t 595 1
m 1 1
0 28 6
1 27 7
2 28 8
t 594 1
m 1 2
0 28 5
1 26 7
2 28 7
t 593 1
m 1 1
0 27 5
1 26 6
2 28 6
t 592 1
m 1 0
0 26 5
1 26 5
2 28 7
t 591 1
m 1 0
0 26 6
1 27 5
2 28 6
t 590 1
m 2 0
0 27 6
1 27 6
2 28 7
t 589 1
m 2 1
0 28 6
1 28 6
2 28 8
t 588 1
m 2 1
0 28 5
1 28 7
2 27 8
t 587 1
m 2 0
0 28 6
1 28 6
2 26 8
t 586 1
m 2 1
0 28 7
1 27 6
2 27 8
t 585 1
m 2 0
0 27 7
1 28 6
2 26 8
t 584 1
m 1 0
0 27 6
1 28 7
2 25 8
t 583 1
m 1 1
0 27 7
1 28 6
2 25 7
t 582 1
m 0 1
0 27 8
1 27 6
2 25 8
t 581 1
m 0 1
0 26 8
1 26 6
2 25 7
t 580 1
m 0 1
0 27 8
1 26 7
2 25 6
t 579 1
m 0 2
0 28 8
1 25 7
2 25 7
t 578 1
m 0 2
0 28 7
1 24 7
2 25 6
t 577 1
m 0 2
0 28 8
1 24 8
2 25 5
t 576 1
m 0 2
0 27 8
1 25 8
2 26 5
t 575 1
m 1 2
0 26 8
1 24 8
2 26 4
t 574 1
m 0 2
0 25 8
1 23 8
2 26 5
t 573 1
m 0 3
0 25 7
1 23 7
2 26 4
t 572 2
m 0 4
0 25 6
1 23 8
2 26 3
t 571 2
m 0 5
0 26 6
1 24 8
2 26 2
t 570 2
m 1 5
0 26 5
1 23 8
2 26 3
t 569 2
m 1 5
0 27 5
1 24 8
2 25 3
t 568 2
m 1 4
0 26 5
1 25 8
2 25 2
t 567 2
m 1 5
0 25 5
1 24 8
2 26 2
t 566 2
m 2 5
0 25 6
1 23 8
2 25 2
t 565 2
m 2 4
0 25 5
1 24 8
2 26 2
t 564 2
m 1 4
0 25 6
1 24 7
2 25 2
t 563 2
m 1 3
0 25 5
1 24 6
2 25 1
t 562 2
m 2 3
0 24 5
1 25 6
2 25 0
t 561 3
m 3 3
0 24 4
1 25 5
2 24 0
t 560 4
m 2 3
0 24 5
1 25 6
2 25 0
t 559 4
m 1 3
0 23 5
1 26 6
2 24 0
t 558 4
m 1 2
0 24 5
1 26 5
2 23 0
t 557 4
m 2 2
0 23 5
1 26 6
2 24 0
t 556 4
m 2 2
0 23 4
1 26 5
2 24 1
t 555 4
m 1 2
0 23 3
1 26 4
2 23 1
t 554 4
m 0 2
0 24 3
1 26 5
2 24 1
t 553 4
m 0 2
0 23 3
1 26 4
2 25 1
t 552 4
m 0 1
0 24 3
1 26 3
2 24 1
t 551 4
m 0 0
0 24 4
1 26 4
2 24 2
t 550 4
m 0 1
0 25 4
1 27 4
2 23 2
t 549 4
m 0 1
0 24 4
1 28 4
2 22 2
t 548 4
m 0 2
0 24 5
1 28 3
2 22 3
t 547 4
m 0 1
0 24 4
1 27 3
2 21 3
t 546 4
m 1 1
0 23 4
1 26 3
2 21 4
t 545 4
m 2 1
0 22 4
1 25 3
2 22 4
t 544 4
m 1 1
0 21 4
1 24 3
2 23 4
t 543 4
m 1 1
0 22 4
1 23 3
2 22 4
t 542 4
m 1 0
0 22 3
1 23 2
2 21 4
t 541 4
m 1 1
0 22 4
1 23 1
2 22 4
t 540 4
m 1 0
0 23 4
1 22 1
2 22 5
t 539 4
m 1 0
0 23 3
1 21 1
2 22 4
t 538 4
